Ticker,pred_score
ABX.TO,51.039779
ARQT,51.039779
BLTE,51.039779
BW,51.039779
CDTX,51.039779
CELC,51.039779
CG.TO,51.039779
CGEM,51.039779
CIEN,51.039779
COMM,51.039779
COMP,51.039779
CSTL,51.039779
DPM.TO,51.039779
DY,51.039779
EBR,51.039779
ERO.TO,51.039779
EXAS,51.039779
EXE.TO,51.039779
EXPE,51.039779
FBRX,51.039779
FULC,51.039779
GLUE,51.039779
GMED,51.039779
GRGD.TO,51.039779
HAE,51.039779
IMG.TO,51.039779
KNT.TO,51.039779
KOD,51.039779
KSS,51.039779
LITE,51.039779
LQDA,51.039779
LSRCY,51.039779
MAZE,51.039779
MBX,51.039779
MU,51.039779
NRIX,51.039779
NUTX,51.039779
OESX,51.039779
OGC.TO,51.039779
OUT,51.039779
PANL,51.039779
PEN,51.039779
PRPO,51.039779
SQM,51.039779
STOK,51.039779
TSEM.TA,51.039779
TTI,51.039779
TYRA,51.039779
WDC,51.039779
ZYME,51.039779
