,nan_frac
MRI,1.0
vol_60,1.0
mdd_3m,1.0
RLI,1.0
abs_mdd_3m,1.0
z_mdd_3m,1.0
VCI,1.0
YCSI,1.0
RORO,1.0
STI_SPY,1.0
adv_60,1.0
log_adv_60,1.0
proximity_high_126,1.0
STSI,1.0
TotalScore,1.0
BRI,1.0
compression,1.0
TailwindScore,1.0
QMI,1.0
z_vol_60,1.0
sector_close,1.0
RS_spy,1.0
z_prox_high,1.0
z_RS_sector_slope,1.0
z_RS_spy_slope,1.0
RS_sector,1.0
RS_sector_slope90,1.0
RS_sector_ratio,1.0
SPY_close,1.0
SectorTailwind,1.0
RS_spy_slope90,1.0
RS_spy_ratio,1.0
sector,1.0
adv_20,0.9565715741212429
log_adv_20,0.9565715741212429
z_log_adv,0.9565715741212429
z_mom_6m,0.8600356597045339
mom_6m,0.8600356597045339
mom_3m,0.858762098828324
z_mom_3m,0.858762098828324
z_ema_stack,0.8576158940397351
open,0.8576158940397351
high,0.8576158940397351
adj_close,0.8576158940397351
volume,0.8576158940397351
ema_stack,0.8576158940397351
logret,0.8576158940397351
dist_ema200,0.8576158940397351
ema200_slope,0.8576158940397351
low,0.8576158940397351
close,0.8576158940397351
ema50_slope,0.8572338257768721
z_ema50_slope,0.8572338257768721
ema50,0.8565970453387672
ema20,0.8565970453387672
ema50_200,0.8565970453387672
ema20_50,0.8565970453387672
ema200,0.8565970453387672
date,0.0
sustain_50_200,0.0
sustain_20_50,0.0
sustain_all,0.0
sustain_price_200,0.0
ticker,0.0
sector_etf,0.0
z_sustain,0.0
company,0.0
