ticker,company,score,tier,avg_dollar_vol_20d,price,vsSMA50,vsSMA200,RSI14,ATR%,r60,vol_vs20,drawdown%,tags,reason
GSAT,Globalstar,27.53368059649363,28.2,9.95,16.11,65,4.7,48.81,-3.22,-17.9,small,20678496.56,RS_trend_protect,below_cutoff
SFIX,Stitch Fix,27.532895478918242,5.47,21.2,28.19,77,4.16,14.44,84.87,-17.62,small,10139656.56,breakout_protect;overheat_L1;probe_ok_L1,below_cutoff
HSLV.TO,Highlander Silver,27.48587589563369,3.9,28.04,nan,81,4.12,60.49,-80.43,-0.51,small,669435.02,RS_trend_protect;low_liquidity_today;overheat_L1;probe_ok_L1,below_cutoff
TH.TO,Theratechnologies,27.47271274089984,4.47,7.81,47.05,60,0.91,22.47,35.18,-1.32,small,127640.84,RS_trend_protect;pullback_protect;stall_risk;setup_protect,below_cutoff
RRR,Red Rock Resorts,27.46809587141741,62.97,11.87,30.33,77,2.2,28.95,-1.32,0.0,small,56903471.3,RS_trend_protect;breakout_protect,below_cutoff
NNNN,Anbio Biotechnology,27.409074845222687,46.94,10.83,nan,52,8.09,472.58,-54.86,-9.9,small,4512811.47,RS_trend_protect,below_cutoff
IPO.TO,InPlay Oil,27.386226112995708,11.24,10.83,20.03,63,2.36,23.79,-49.68,-10.3,small,699184.19,RS_trend_protect;pullback_protect;stall_risk,below_cutoff
GASS,StealthGas,27.374675907199165,7.66,13.11,29.88,74,3.63,26.82,23.94,0.0,small,1171788.48,RS_trend_protect;breakout_protect,below_cutoff
ZIVO,Zivo Bioscience,27.36237958208806,18.99,31.79,9.04,82,4.16,8.45,-78.42,-14.07,small,26396.1,low_liquidity_today;overheat_L1;probe_ok_L1,below_cutoff
DC,Dakota Gold,27.34352240414674,4.18,5.45,38.39,60,3.51,24.78,-18.61,-4.13,small,2369746.4,RS_trend_protect;breakout_protect;pullback_protect;setup_protect,below_cutoff
GNRC,Generac,27.32704615981681,186.99,12.45,25.58,41,2.57,46.97,-34.27,-7.82,large,198029895.42,RS_trend_protect,below_cutoff
GMIN.TO,G Mining Ventures,27.28811695572935,20.54,15.52,27.18,68,3.87,-5.95,-36.76,-5.95,small,12726379.17,stall_risk,below_cutoff
LLYVK,Liberty Media Corporation,27.27043160640506,96.56,13.74,29.18,90,2.4,30.56,30.98,-0.6,small,37109938.26,RS_trend_protect,below_cutoff
ESLT.TA,Elbit Systems,27.21825320520933,165580.0,8.43,29.25,52,2.76,10.39,-2.27,-2.31,large,17382116497.0,pullback_protect;setup_protect,below_cutoff
CVNA,Carvana,27.214198293004205,367.35,7.08,37.17,55,3.97,8.01,-36.76,-5.85,large,1202981269.24,pullback_protect;stall_risk;setup_protect,below_cutoff
