ticker,name,qs_score,tr_score,merged_score,merged_qs_score,merged_tr_score,probe_ok,probe_lvl,valuation_boost,val_PE,val_YoY,val_PEG,val_PE_trailing,val_PE_forward,tr_trend,tr_struct,tr_stability,tr_blowoff,tr_value,tr_valuation_boost,tr_final_score,merged_trend,merged_struct,merged_stability,merged_blowoff,merged_value,merged_valuation_boost,merged_final_score
GH,Guardant Health,87.28036186544433,84.21377660191223,124.98042291779525,87.28036186544433,84.21377660191223,False,0,0.0,,0.385,,,,4.077648922041611,0.0,3.7836000000000003,0.0,-1.5983847296559697,0.0,84.21377660191223,4.077648922041611,0.0,3.7836000000000003,0.0,-1.5983847296559697,0.0,124.98042291779525
ZYME,Zymeworks,91.4871958230664,78.01157083298565,121.38047708050584,91.4871958230664,78.01157083298565,False,0,0.0,,0.726,,,,2.9888317565469746,0.0,3.8276,0.0,-1.7497377238554108,0.0,78.01157083298565,2.9888317565469746,0.0,3.8276,0.0,-1.7497377238554108,0.0,121.38047708050584
BBNX,Beta Bionics,89.85689261025516,76.8322473514281,120.08840866613485,89.85689261025516,76.8322473514281,False,0,0.0,,0.631,,,,3.1362687849602224,0.0,3.7388,0.0,-2.190329410452245,0.0,76.8322473514281,3.1362687849602224,0.0,3.7388,0.0,-2.190329410452245,0.0,120.08840866613485
LITE,Lumentum,87.45343646331362,75.58172553292303,118.54965326552067,87.45343646331362,75.58172553292303,False,0,0.0,155.84756,0.584,,155.84756,69.26558,4.504158341832149,0.0,2.908,0.0,-3.7805419814014667,0.0,75.58172553292303,4.504158341832149,0.0,2.908,0.0,-3.7805419814014667,0.0,118.54965326552067
TTI,TETRA Technologies,76.78190631542543,80.03230057010717,94.21970200643673,76.78190631542543,80.03230057010717,False,0,11.0,8.065217,0.081,,8.065217,19.025642,1.8259812045941697,0.0,4.4719999999999995,0.0,1.716694223276793,11.0,80.03230057010717,1.8259812045941697,0.0,4.4719999999999995,0.0,1.716694223276793,11.0,105.21970200643673
ARQT,Arcutis Biotherapeutics,75.60822292076458,78.91529718367235,93.0885286179454,75.60822292076458,78.91529718367235,False,0,0.0,,1.217,,,,3.3007540466463055,0.0,4.05,0.0,-1.2289836105276832,0.0,78.91529718367235,3.3007540466463055,0.0,4.05,0.0,-1.2289836105276832,0.0,93.0885286179454
KOD,Kodiak Sciences,82.79402371736128,75.11300992297825,92.03326337157401,82.79402371736128,75.11300992297825,False,0,0.0,,0.3235582035463797,,,,4.833762280497902,0.0,3.0498000000000003,0.0,-4.693856560811261,0.0,75.11300992297825,4.833762280497902,0.0,3.0498000000000003,0.0,-4.693856560811261,0.0,92.03326337157401
RCUS,Arcus Biosciences,77.01731267958,75.98221547690298,91.24098977757224,77.01731267958,75.98221547690298,False,0,0.0,,0.0781758957654723,,,,3.6409619636869297,0.0,3.5586,0.0,-2.1025668875,0.0,75.98221547690298,3.6409619636869297,0.0,3.5586,0.0,-2.1025668875,0.0,91.24098977757224
ECO,Okeanis Eco Tankers,94.30412687652412,57.133231797183896,81.42595556701895,94.30412687652412,57.133231797183896,False,0,2.0,15.440329,,,,,1.5464781071318643,0.0,2.167,0.0,3.5000000000000004,2.0,57.133231797183896,1.5464781071318643,0.0,2.167,0.0,3.5000000000000004,2.0,83.42595556701895
GOOG,Alphabet (Class C),88.38044438484695,57.89787490240535,80.51851727301575,88.38044438484695,57.89787490240535,False,0,2.0,29.580454,0.353,1.6428,29.580454,33.480446,1.4505193609437892,0.0,2.272,0.0,4.3328497142857145,2.0,57.89787490240535,1.4505193609437892,0.0,2.272,0.0,4.3328497142857145,2.0,82.51851727301575
