TODAY is Mar 12. You are given the 10 ML-ranked candidates, ordered.
Pick exactly ONE option with the best EV and lowest risk using up-to-date web data for the next 6 months.
Do not assume any candidate is good; score strictly by evidence.

CANDIDATES CSV (Ranked):
Rank,TickerName,Ticker,Score,PipelineNews
1,CODA - Coda Octopus,CODA,616,N/A | Impact: 0
2,GMIN.TO - G Mining Ventures,GMIN.TO,615,N/A | Impact: 0
3,BWAY - Brainsway,BWAY,611,N/A | Impact: 0
4,ENLT - Enlight Renewable Energy,ENLT,607,N/A | Impact: 0
5,RERE - ATRenew,RERE,596,N/A | Impact: 0
6,CEMX.TO - CEMATRIX,CEMX.TO,537,N/A | Impact: 0
7,KRKNF - Kraken Robotics,KRKNF,510,N/A | Impact: 0
8,ISSC - Innovative Solutions and Support,ISSC,498,N/A | Impact: 0
9,LUNMF - Lundin Mining,LUNMF,490,N/A | Impact: 0
10,BUKS - Butler National,BUKS,464,N/A | Impact: 0

Remember: choose only ONE and output exactly 8 lines in the required format.
