ticker,company,final_score,enhancer_bonus,tier,avg_dollar_vol_20d,price,vsSMA50,vsSMA200,RSI14,ATR%,r60,vol_vs20,drawdown%,tags,_qs_score,_tr_score,merged_score
W,Wayfair Inc,81.67,25.0,large,362378580.12,77.65,19.08,66.29,57,4.15,71.49,-19.63,-2.89,RS_trend_protect;stall_risk,81.67,62.58752839676818,82.35814629757614
EFR.TO,Energy Fuels,57.68,0.0,small,30231338.66,15.64,32.97,87.33,61,8.68,109.09,-49.4,-8.0,RS_trend_protect;stall_risk,57.68,85.06799997976363,78.22099998482273
RIGL,Rigel Pharmaceuticals,58.56,0.0,small,38248276.79,38.46,44.8,76.14,63,6.06,78.97,-59.36,-8.41,RS_trend_protect;stall_risk,58.56,84.20206831088974,77.79155123316731
JMIA,Jumia Technologies,58.84,0.0,small,49677235.43,8.05,44.46,110.05,58,6.69,138.87,-29.38,-12.31,RS_trend_protect;stall_risk,58.84,83.89150000000001,77.628625
AEHR,Aehr Test Systems,60.37,0.0,small,48471836.36,24.88,40.57,98.86,63,7.97,119.4,-16.9,-8.02,RS_trend_protect,60.37,81.7075,76.373125
CELC,Celcuity,40.77,-15.0,small,54214389.05,53.58,73.24,228.07,57,5.34,310.57,-48.83,-1.87,RS_trend_protect;stall_risk,40.77,87.29525,75.66393749999999
COMM,CommScope,42.03,-15.0,small,130765209.03,15.92,43.7,140.08,60,4.08,162.71,-37.33,-3.28,RS_trend_protect;stall_risk,42.03,85.28275000000001,74.4695625
ONDS,Ondas,47.79,-15.0,large,267918816.67,5.46,89.23,226.35,63,9.94,221.18,-22.81,-6.83,RS_trend_protect;stall_risk,47.79,82.74175,74.0038125
ELVA.TO,Electrovaya,58.08,0.0,small,555813.69,7.93,33.57,85.93,64,6.16,77.01,-2.98,-5.14,RS_trend_protect,58.08,76.91557497779615,72.20668123334711
LASR,nLight,59.3,0.0,small,30493991.07,28.45,28.17,107.96,54,4.86,61.65,-11.98,-4.63,RS_trend_protect,59.3,76.17169400218961,71.95377050164221
LYSDY,Lynas Rare Earths,56.0,0.0,small,4147373.83,9.4,26.54,74.94,58,2.71,59.86,-27.83,-3.29,RS_trend_protect;stall_risk,56.0,72.40873777620777,68.30655333215583
VSTM,Verastem,50.72,0.0,small,27439688.89,9.22,47.09,54.35,65,6.38,43.61,-39.03,-0.75,RS_trend_protect;stall_risk,50.72,73.33056886470739,67.67792664853053
