ticker,company,score,tier,ATRpct,AVWAP252,EMA20,EMA200,EMA50,EMA50_slope_5d,MACD_hist,RSI14,SMA20,SMA200,SMA50,avg_dollar_vol_20d,avg_vol_20d,d20,d5,dist_to_52w_low,drawdown_pct,is_20d_high,liq_tier,price,r120,r60,vol_vs20,vsEMA200,vsEMA50,vsSMA20,vsSMA200,vsSMA50
CELH,Celsius,51.2047,large,3.44,33.82,53.73449994231096,39.771454824425916,48.30015226595282,6.031332737655215,1.216,87,51.75,35.0,47.54,469816537.75,7553320.0,33.36,8.55,192.29,0.0,True,large,62.2,142.5,78.07,-61.05,56.393574926003055,28.77806193552168,20.2,77.73,30.84
APLD,Applied Digital,49.5337,large,8.48,8.94,14.005784877136103,8.931581384565316,12.0872514293915,6.622092416904191,0.094,69,13.74,8.65,11.79,553351971.48,35047342.0,46.87,12.06,401.23,-3.37,False,large,15.79,129.49,117.18,-50.13,76.78840196526373,30.633503342247458,14.89,82.62,33.96
BE,Bloom Energy,49.0198,large,6.76,22.82,39.52113750274626,23.993133131685774,32.77539835373292,8.880249844845011,0.149,70,39.71,23.75,30.36,535604435.59,11915560.0,30.9,-0.73,397.23,-3.33,False,large,44.95,91.93,129.45,-39.26,87.34526980404324,37.145548972040096,13.2,89.29,48.05
ALNY,Alnylam Pharmaceuticals,48.6658,large,2.96,288.46,419.0703153779546,301.5932831855818,371.00988882939225,5.44237511870167,1.775,88,414.25,283.34,356.82,636048112.5,1371296.0,41.06,3.32,106.77,0.0,True,large,463.83,90.46,62.43,-67.13,53.793212866278516,25.018231040545324,11.97,63.7,29.99
GALT,Galectin Therapeutics,47.1018,small,7.97,1.97,3.5993572120609802,2.225293000972937,3.0085318654585786,6.370294859691272,-0.035,57,3.67,1.93,2.9,1123755.15,283777.0,36.08,10.92,371.43,-4.58,False,small,3.96,165.77,206.98,-69.89,77.95409405721487,31.62566251883101,7.96,104.74,36.79
RIGL,Rigel Pharmaceuticals,46.7755,small,5.7,22.69,32.57107752215265,20.694996736500766,26.443493949893373,13.248432787420427,1.092,95,30.36,21.04,23.77,33524255.59,799338.0,107.93,6.15,246.9,0.0,True,small,41.94,87.48,118.55,9.49,102.65767873269769,58.60233931064587,38.15,99.38,76.42
UAMY,United States Antimony,46.7536,small,8.84,2.45,3.8537549394469797,2.4046386247785705,3.394334000878364,6.964433669665149,0.071,84,3.7,2.26,3.2,24179662.68,5343572.0,35.07,5.97,770.19,0.0,True,small,4.53,250.78,86.98,-32.72,88.38589521604902,33.45769741067779,22.39,100.02,41.61
STOK,Stoke Therapeutics,46.7479,small,5.52,11.2,15.713920226521267,11.686319949642835,13.604854291768703,9.322313712041751,0.566,95,14.88,10.79,13.16,16629709.3,850625.0,49.24,7.36,231.36,0.0,True,small,19.55,164.19,107.32,-35.92,67.28961798275515,43.6987091572768,31.42,81.13,48.59
LYSDY,Lynas Rare Earths,46.5660,small,2.27,5.87,8.358789120910712,5.63922377709872,7.273422041203468,6.816208422937131,0.059,77,8.19,5.22,6.94,4029973.33,432865.0,30.39,-0.96,141.82,-4.22,False,small,9.31,122.2,81.13,-91.36,65.09364352251028,28.000272048829956,13.68,78.28,34.17
ASMB,Assembly Biosciences,46.2658,small,5.47,17.31,22.88941059225665,16.07773428564754,19.978101532498346,6.927834299525526,0.391,87,21.99,15.04,19.57,3187929.98,120527.0,42.59,3.97,220.22,0.0,True,small,26.45,116.27,92.22,20.0,64.51323009866941,32.39496233900816,20.27,75.89,35.16
ALAB,Astera Labs,46.1058,large,6.33,94.32,161.83992095041773,97.44380364897975,133.30950424116497,8.061994675046202,-1.291,72,160.38,99.48,122.13,1134879679.86,6426014.0,44.49,-4.97,364.39,-8.8,False,large,176.61,160.94,83.09,-39.82,81.24292503625922,32.48117679629339,10.12,77.53,44.6
ESEA,Euroseas,45.7483,small,4.11,34.88,55.63134444692782,38.749311662988475,50.19035405505814,5.4068929551772005,0.995,81,54.56,34.94,49.91,3130694.29,49132.0,23.08,6.64,164.31,0.0,True,small,63.72,141.4,71.47,8.57,64.44163074221096,26.956665677432802,16.79,82.38,27.66
INSM,Insmed,45.4412,large,3.04,83.95,118.08462781888576,86.72085971529151,106.28864598336497,4.913095573844317,1.292,90,115.69,81.48,106.72,418135966.56,3174912.0,26.7,3.05,103.21,0.0,True,large,131.7,72.63,98.46,-54.83,51.86657562249386,23.907872549822585,13.84,61.63,23.4
VIOT,Viomi Technology,45.4294,small,8.86,2.34,3.4231777402127768,1.9282428477617155,2.8781155918065684,5.301776780378908,-0.071,59,3.46,1.76,2.68,2593697.34,716491.0,16.07,-4.49,207.91,-4.49,False,small,3.62,134.32,164.24,-32.92,87.73568921580903,25.776741222813683,4.72,106.12,35.16
LASR,nLight,45.4232,small,5.51,14.63,24.137430672061,14.94367976496137,20.92240338642589,6.316185093230575,0.178,72,23.49,13.11,20.72,28767139.07,1070206.0,38.63,2.67,317.39,-2.96,False,small,26.88,223.86,71.98,-63.43,79.87537489277486,28.47472397668853,14.43,104.99,29.73
COMM,CommScope,45.2780,small,5.71,6.93,13.47823898088653,6.867884348538968,10.630011708953862,11.428442799701056,0.019,87,13.07,6.28,9.68,172387562.13,11190364.0,93.29,-0.61,410.1,-1.94,False,small,15.4,149.27,150.9,-74.47,124.23208106694608,44.87284136317824,17.86,145.37,59.15
LQDA,Liquidia,45.1543,small,5.43,15.18,22.862467648261287,15.372713154669272,19.29290253140658,9.827432418645587,0.481,85,22.28,14.65,17.31,88053005.53,3233676.0,38.93,4.93,205.96,-1.77,False,small,27.23,83.12,92.03,-67.39,77.13203730552421,41.1399863533896,22.21,85.86,57.3
VNP.TO,5N Plus,45.0828,small,4.13,8.57,14.027623756878661,8.76257271966264,12.02357525490536,5.739466338328092,-0.113,75,14.1,8.03,11.41,8529968.77,554614.0,32.47,1.85,206.99,-1.09,False,small,15.38,147.67,86.42,-39.24,75.51922810852443,27.915363558150407,9.06,91.51,34.78
RCG.TO,RF Capital,45.0711,small,0.35,14.46,18.07729745750773,10.595418134458866,14.63286935468975,8.387304210608004,-0.284,53,18.78,9.85,13.08,1818558.27,92079.0,90.82,0.15,177.39,-1.25,False,small,19.75,84.24,145.34,-88.29,86.40132696385258,34.970110928177164,5.14,100.42,51.04
UCL,Ucloudlink,44.8802,small,13.52,2.14,3.155750389870092,1.831443898598876,2.6156543461465396,7.091724179320091,-0.052,61,3.15,1.62,2.47,685795.21,214311.0,25.0,-18.16,279.6,-19.6,False,small,3.2,136.16,86.05,-69.33,74.72552680691567,22.34032393134575,1.45,97.39,29.48
SIFY,Sify Technologies,44.5969,small,8.79,4.04,7.60552082013304,4.746189317160477,6.4582838441775525,6.854149316591029,-0.027,67,7.54,4.44,5.92,1443949.7,172928.0,50.45,1.58,334.9,-3.47,False,small,8.35,86.38,67.0,-64.28,75.93061384655407,29.291313318907754,10.79,88.24,41.14
RUN,Sunrun,44.5465,large,8.32,9.99,12.317673835668824,10.42632326512018,10.771864932947086,9.546840053596561,0.437,71,11.72,9.18,10.18,279273900.26,19095651.0,35.67,5.06,158.16,-31.98,False,large,14.62,137.03,116.67,-35.22,40.22200950654564,35.723944655886974,24.78,59.4,43.7
